audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
23,9,Captivity,250000,78,2007.0,Horror/Mystery and thriller,1:25,-14,15.225063992104127
55,40,Saw VI,250000,75,2009.0,Horror/Mystery and thriller,1:31,-15,14.856389929209026
43,33,Aliens in the Attic,250000,75,2009.0,Kids and family/Comedy,1:26,-10,14.856389929209026
49,64,Crank: High Voltage,250000,70,2009.0,Action,1:37,15,14.229389747854103
38,7,Prom Night,250000,67,2008.0,Horror/Mystery and thriller,1:28,-31,13.8451208742507
34,11,The Stepfather,250000,63,2009.0,Horror/Mystery and thriller,1:41,-23,13.322564864824612
51,13,War,250000,60,2007.0,Action/Mystery and thriller,1:43,-38,12.922440211617326
73,100,Pinocchio,250000,56,1940.0,Kids and family/Animation,1:27,27,12.377060587439436
78,98,Snow White and the Seven Dwarfs,250000,53,1937.0,Kids and family/Animation,1:20,20,11.958381890942793
76,98,One Hundred and One Dalmatians,250000,52,1961.0,Kids and family/Comedy,1:19,22,11.8168599865911
80,93,Lady and the Tramp,250000,42,1955.0,Kids and family/Animation,1:15,13,10.34024446475599
